nodeID_from,nodeID_to,country_ISO3,country_name,weight
1,1,BGR,Bulgaria,17531730
1,2,BGR,Bulgaria,609544
1,3,BGR,Bulgaria,200014
1,4,BGR,Bulgaria,108758
1,5,BGR,Bulgaria,108308
1,6,BGR,Bulgaria,93101
1,7,BGR,Bulgaria,75186
1,8,BGR,Bulgaria,60317
1,9,BGR,Bulgaria,32503
1,10,BGR,Bulgaria,35985
1,11,BGR,Bulgaria,77041
1,12,BGR,Bulgaria,44729
1,13,BGR,Bulgaria,44280
1,14,BGR,Bulgaria,48618
1,15,BGR,Bulgaria,58713
1,16,BGR,Bulgaria,60554
1,17,BGR,Bulgaria,59860
1,18,BGR,Bulgaria,62602
1,19,BGR,Bulgaria,198935
1,20,BGR,Bulgaria,129467
1,21,BGR,Bulgaria,92366
1,22,BGR,Bulgaria,102363
1,23,BGR,Bulgaria,92528
1,24,BGR,Bulgaria,84269
1,25,BGR,Bulgaria,57801
1,26,BGR,Bulgaria,67925
1,27,BGR,Bulgaria,57501
1,28,BGR,Bulgaria,25594
2,1,BGR,Bulgaria,609544
2,2,BGR,Bulgaria,11410560
2,3,BGR,Bulgaria,576371
2,4,BGR,Bulgaria,129825
2,5,BGR,Bulgaria,133196
2,6,BGR,Bulgaria,89221
2,7,BGR,Bulgaria,82198
2,8,BGR,Bulgaria,58883
2,9,BGR,Bulgaria,36278
2,10,BGR,Bulgaria,40545
2,11,BGR,Bulgaria,71608
2,12,BGR,Bulgaria,45782
2,13,BGR,Bulgaria,52462
2,14,BGR,Bulgaria,49793
2,15,BGR,Bulgaria,59484
2,16,BGR,Bulgaria,71239
2,17,BGR,Bulgaria,64528
2,18,BGR,Bulgaria,66948
2,19,BGR,Bulgaria,220343
2,20,BGR,Bulgaria,159969
2,21,BGR,Bulgaria,89033
2,22,BGR,Bulgaria,114778
2,23,BGR,Bulgaria,95504
2,24,BGR,Bulgaria,76898
2,25,BGR,Bulgaria,60897
2,26,BGR,Bulgaria,73985
2,27,BGR,Bulgaria,59378
2,28,BGR,Bulgaria,26347
3,1,BGR,Bulgaria,200014
3,2,BGR,Bulgaria,576371
3,3,BGR,Bulgaria,8526439
3,4,BGR,Bulgaria,313491
3,5,BGR,Bulgaria,196806
3,6,BGR,Bulgaria,106021
3,7,BGR,Bulgaria,97265
3,8,BGR,Bulgaria,70393
3,9,BGR,Bulgaria,37328
3,10,BGR,Bulgaria,38268
3,11,BGR,Bulgaria,74079
3,12,BGR,Bulgaria,46579
3,13,BGR,Bulgaria,48575
3,14,BGR,Bulgaria,51078
3,15,BGR,Bulgaria,66959
3,16,BGR,Bulgaria,65187
3,17,BGR,Bulgaria,64548
3,18,BGR,Bulgaria,70590
3,19,BGR,Bulgaria,205504
3,20,BGR,Bulgaria,245594
3,21,BGR,Bulgaria,88685
3,22,BGR,Bulgaria,106071
3,23,BGR,Bulgaria,88068
3,24,BGR,Bulgaria,75694
3,25,BGR,Bulgaria,58118
3,26,BGR,Bulgaria,70639
3,27,BGR,Bulgaria,55456
3,28,BGR,Bulgaria,27890
4,1,BGR,Bulgaria,108758
4,2,BGR,Bulgaria,129825
4,3,BGR,Bulgaria,313491
4,4,BGR,Bulgaria,4933179
4,5,BGR,Bulgaria,588667
4,6,BGR,Bulgaria,254423
4,7,BGR,Bulgaria,159378
4,8,BGR,Bulgaria,97577
4,9,BGR,Bulgaria,45362
4,10,BGR,Bulgaria,49828
4,11,BGR,Bulgaria,87006
4,12,BGR,Bulgaria,55082
4,13,BGR,Bulgaria,56511
4,14,BGR,Bulgaria,61426
4,15,BGR,Bulgaria,64901
4,16,BGR,Bulgaria,64702
4,17,BGR,Bulgaria,63456
4,18,BGR,Bulgaria,67328
4,19,BGR,Bulgaria,140652
4,20,BGR,Bulgaria,117413
4,21,BGR,Bulgaria,69267
4,22,BGR,Bulgaria,76111
4,23,BGR,Bulgaria,68265
4,24,BGR,Bulgaria,71167
4,25,BGR,Bulgaria,56053
4,26,BGR,Bulgaria,59975
4,27,BGR,Bulgaria,52728
4,28,BGR,Bulgaria,24793
5,1,BGR,Bulgaria,108308
5,2,BGR,Bulgaria,133196
5,3,BGR,Bulgaria,196806
5,4,BGR,Bulgaria,588667
5,5,BGR,Bulgaria,12932709
5,6,BGR,Bulgaria,229341
5,7,BGR,Bulgaria,365742
5,8,BGR,Bulgaria,82277
5,9,BGR,Bulgaria,53926
5,10,BGR,Bulgaria,57688
5,11,BGR,Bulgaria,91221
5,12,BGR,Bulgaria,61534
5,13,BGR,Bulgaria,67317
5,14,BGR,Bulgaria,74186
5,15,BGR,Bulgaria,70090
5,16,BGR,Bulgaria,87019
5,17,BGR,Bulgaria,79016
5,18,BGR,Bulgaria,90142
5,19,BGR,Bulgaria,182806
5,20,BGR,Bulgaria,303078
5,21,BGR,Bulgaria,87953
5,22,BGR,Bulgaria,96224
5,23,BGR,Bulgaria,91327
5,24,BGR,Bulgaria,113193
5,25,BGR,Bulgaria,70358
5,26,BGR,Bulgaria,86143
5,27,BGR,Bulgaria,83395
5,28,BGR,Bulgaria,36450
6,1,BGR,Bulgaria,93101
6,2,BGR,Bulgaria,89221
6,3,BGR,Bulgaria,106021
6,4,BGR,Bulgaria,254423
6,5,BGR,Bulgaria,229341
6,6,BGR,Bulgaria,6140658
6,7,BGR,Bulgaria,476667
6,8,BGR,Bulgaria,248644
6,9,BGR,Bulgaria,85884
6,10,BGR,Bulgaria,82316
6,11,BGR,Bulgaria,138866
6,12,BGR,Bulgaria,77217
6,13,BGR,Bulgaria,92737
6,14,BGR,Bulgaria,211720
6,15,BGR,Bulgaria,89025
6,16,BGR,Bulgaria,125022
6,17,BGR,Bulgaria,84376
6,18,BGR,Bulgaria,105770
6,19,BGR,Bulgaria,130131
6,20,BGR,Bulgaria,79746
6,21,BGR,Bulgaria,63325
6,22,BGR,Bulgaria,64852
6,23,BGR,Bulgaria,66866
6,24,BGR,Bulgaria,80419
6,25,BGR,Bulgaria,68889
6,26,BGR,Bulgaria,60812
6,27,BGR,Bulgaria,63656
6,28,BGR,Bulgaria,33739
7,1,BGR,Bulgaria,75186
7,2,BGR,Bulgaria,82198
7,3,BGR,Bulgaria,97265
7,4,BGR,Bulgaria,159378
7,5,BGR,Bulgaria,365742
7,6,BGR,Bulgaria,476667
7,7,BGR,Bulgaria,13285440
7,8,BGR,Bulgaria,99436
7,9,BGR,Bulgaria,55239
7,10,BGR,Bulgaria,52295
7,11,BGR,Bulgaria,106431
7,12,BGR,Bulgaria,59926
7,13,BGR,Bulgaria,65126
7,14,BGR,Bulgaria,82989
7,15,BGR,Bulgaria,85587
7,16,BGR,Bulgaria,83116
7,17,BGR,Bulgaria,68273
7,18,BGR,Bulgaria,123763
7,19,BGR,Bulgaria,134826
7,20,BGR,Bulgaria,77599
7,21,BGR,Bulgaria,61896
7,22,BGR,Bulgaria,65241
7,23,BGR,Bulgaria,63171
7,24,BGR,Bulgaria,84718
7,25,BGR,Bulgaria,65964
7,26,BGR,Bulgaria,59607
7,27,BGR,Bulgaria,61211
7,28,BGR,Bulgaria,40029
8,1,BGR,Bulgaria,60317
8,2,BGR,Bulgaria,58883
8,3,BGR,Bulgaria,70393
8,4,BGR,Bulgaria,97577
8,5,BGR,Bulgaria,82277
8,6,BGR,Bulgaria,248644
8,7,BGR,Bulgaria,99436
8,8,BGR,Bulgaria,4899875
8,9,BGR,Bulgaria,392313
8,10,BGR,Bulgaria,269111
8,11,BGR,Bulgaria,121410
8,12,BGR,Bulgaria,61353
8,13,BGR,Bulgaria,87077
8,14,BGR,Bulgaria,155419
8,15,BGR,Bulgaria,60004
8,16,BGR,Bulgaria,49403
8,17,BGR,Bulgaria,49517
8,18,BGR,Bulgaria,52460
8,19,BGR,Bulgaria,87535
8,20,BGR,Bulgaria,51740
8,21,BGR,Bulgaria,45484
8,22,BGR,Bulgaria,45962
8,23,BGR,Bulgaria,42588
8,24,BGR,Bulgaria,51184
8,25,BGR,Bulgaria,40586
8,26,BGR,Bulgaria,40517
8,27,BGR,Bulgaria,48201
8,28,BGR,Bulgaria,26556
9,1,BGR,Bulgaria,32503
9,2,BGR,Bulgaria,36278
9,3,BGR,Bulgaria,37328
9,4,BGR,Bulgaria,45362
9,5,BGR,Bulgaria,53926
9,6,BGR,Bulgaria,85884
9,7,BGR,Bulgaria,55239
9,8,BGR,Bulgaria,392313
9,9,BGR,Bulgaria,8706382
9,10,BGR,Bulgaria,343183
9,11,BGR,Bulgaria,162899
9,12,BGR,Bulgaria,66950
9,13,BGR,Bulgaria,330380
9,14,BGR,Bulgaria,483086
9,15,BGR,Bulgaria,54598
9,16,BGR,Bulgaria,53012
9,17,BGR,Bulgaria,41515
9,18,BGR,Bulgaria,41098
9,19,BGR,Bulgaria,53947
9,20,BGR,Bulgaria,35392
9,21,BGR,Bulgaria,54453
9,22,BGR,Bulgaria,31862
9,23,BGR,Bulgaria,31407
9,24,BGR,Bulgaria,38501
9,25,BGR,Bulgaria,49262
9,26,BGR,Bulgaria,52379
9,27,BGR,Bulgaria,35311
9,28,BGR,Bulgaria,41962
10,1,BGR,Bulgaria,35985
10,2,BGR,Bulgaria,40545
10,3,BGR,Bulgaria,38268
10,4,BGR,Bulgaria,49828
