nodeID_from,nodeID_to,country_ISO3,country_name,weight
1,1,CZE,Czechia,303567
1,2,CZE,Czechia,134289
1,3,CZE,Czechia,63282
1,4,CZE,Czechia,52802
1,5,CZE,Czechia,52030
1,6,CZE,Czechia,55208
1,7,CZE,Czechia,63316
1,8,CZE,Czechia,56078
1,9,CZE,Czechia,49589
1,10,CZE,Czechia,46918
1,11,CZE,Czechia,40579
1,12,CZE,Czechia,36841
1,13,CZE,Czechia,36154
1,14,CZE,Czechia,31140
2,1,CZE,Czechia,134289
2,2,CZE,Czechia,474858
2,3,CZE,Czechia,47289
2,4,CZE,Czechia,42865
2,5,CZE,Czechia,34730
2,6,CZE,Czechia,52343
2,7,CZE,Czechia,63113
2,8,CZE,Czechia,51076
2,9,CZE,Czechia,43761
2,10,CZE,Czechia,38031
2,11,CZE,Czechia,21401
2,12,CZE,Czechia,21544
2,13,CZE,Czechia,18771
2,14,CZE,Czechia,18061
3,1,CZE,Czechia,63282
3,2,CZE,Czechia,47289
3,3,CZE,Czechia,1417348
3,4,CZE,Czechia,63867
3,5,CZE,Czechia,32978
3,6,CZE,Czechia,27606
3,7,CZE,Czechia,24096
3,8,CZE,Czechia,22969
3,9,CZE,Czechia,22911
3,10,CZE,Czechia,82107
3,11,CZE,Czechia,25130
3,12,CZE,Czechia,18460
3,13,CZE,Czechia,16150
3,14,CZE,Czechia,15628
4,1,CZE,Czechia,52802
4,2,CZE,Czechia,42865
4,3,CZE,Czechia,63867
4,4,CZE,Czechia,1369706
4,5,CZE,Czechia,122878
4,6,CZE,Czechia,35609
4,7,CZE,Czechia,23445
4,8,CZE,Czechia,20586
4,9,CZE,Czechia,18968
4,10,CZE,Czechia,19802
4,11,CZE,Czechia,16201
4,12,CZE,Czechia,15020
4,13,CZE,Czechia,12990
4,14,CZE,Czechia,13063
5,1,CZE,Czechia,52030
5,2,CZE,Czechia,34730
5,3,CZE,Czechia,32978
5,4,CZE,Czechia,122878
5,5,CZE,Czechia,2415317
5,6,CZE,Czechia,61138
5,7,CZE,Czechia,27352
5,8,CZE,Czechia,21881
5,9,CZE,Czechia,19688
5,10,CZE,Czechia,17828
