nodeID_from,nodeID_to,country_ISO3,country_name,weight
1,1,EST,Estonia,1278912
1,2,EST,Estonia,605636
1,3,EST,Estonia,623679
1,4,EST,Estonia,287322
1,5,EST,Estonia,541126
2,1,EST,Estonia,605636
2,2,EST,Estonia,5441283
2,3,EST,Estonia,589526
2,4,EST,Estonia,93536
2,5,EST,Estonia,464256
3,1,EST,Estonia,623679
3,2,EST,Estonia,589526
3,3,EST,Estonia,5369968
3,4,EST,Estonia,255281
3,5,EST,Estonia,523244
4,1,EST,Estonia,287322
4,2,EST,Estonia,93536
4,3,EST,Estonia,255281
4,4,EST,Estonia,4840651
4,5,EST,Estonia,158902
5,1,EST,Estonia,541126
5,2,EST,Estonia,464256
5,3,EST,Estonia,523244
5,4,EST,Estonia,158902
5,5,EST,Estonia,3022550
