nodeID_from,nodeID_to,country_ISO3,country_name,weight
1,1,LVA,Latvia,4978831
1,2,LVA,Latvia,103524
1,3,LVA,Latvia,379383
1,4,LVA,Latvia,361894
1,5,LVA,Latvia,244729
1,6,LVA,Latvia,349272
2,1,LVA,Latvia,103524
2,2,LVA,Latvia,4696845
2,3,LVA,Latvia,293810
2,4,LVA,Latvia,194922
2,5,LVA,Latvia,246172
2,6,LVA,Latvia,249431
3,1,LVA,Latvia,379383
3,2,LVA,Latvia,293810
3,3,LVA,Latvia,873409
3,4,LVA,Latvia,753029
3,5,LVA,Latvia,510206
3,6,LVA,Latvia,498432
4,1,LVA,Latvia,361894
4,2,LVA,Latvia,194922
4,3,LVA,Latvia,753029
4,4,LVA,Latvia,2107938
4,5,LVA,Latvia,526616
4,6,LVA,Latvia,515408
5,1,LVA,Latvia,244729
5,2,LVA,Latvia,246172
5,3,LVA,Latvia,510206
5,4,LVA,Latvia,526616
5,5,LVA,Latvia,6451305
5,6,LVA,Latvia,403132
6,1,LVA,Latvia,349272
6,2,LVA,Latvia,249431
6,3,LVA,Latvia,498432
6,4,LVA,Latvia,515408
6,5,LVA,Latvia,403132
6,6,LVA,Latvia,4572319
