nodeID,name,longitude,latitude,nodeCode
1,Miasto Kraków,19.930715011245564,50.04838358505415,PL213
2,Krakowski,20.145871578733413,50.0756598980898,PL214
3,Tarnowski,20.923210797745682,50.01420068513495,PL217
4,Nowosądecki,20.778941265565198,49.60975102174934,PL218
5,Nowotarski,19.923954969727575,49.51329233757659,PL219
6,Oświęcimski,19.46381393532298,50.02214083805206,PL21A
7,Częstochowski,19.192907887429666,50.821418136198005,PL224
8,Bielski,19.047870721153664,49.709391726922135,PL225
9,Rybnicki,18.40953730146371,50.095522925621786,PL227
10,Bytomski,18.827186897843177,50.5805874711353,PL228
11,Gliwicki,18.645092764928503,50.341791643388895,PL229
12,Katowicki,19.005953700823426,50.26143100082995,PL22A
13,Sosnowiecki,19.486098796274646,50.44217111868632,PL22B
14,Tyski,18.91519090536826,50.073272789289454,PL22C
15,Pilski,16.846586027202072,53.089680521836385,PL411
16,Koniński,18.08109738547172,52.293684247303254,PL414
17,Miasto Poznań,16.933391953669066,52.38870332113148,PL415
18,Kaliski,17.840198672987714,51.664193123934886,PL416
19,Leszczyński,16.513137479999806,52.087571725873815,PL417
20,Poznański,16.824264177112752,52.46859171947633,PL418
21,Miasto Szczecin,14.569917872843211,53.45759964763915,PL424
22,Koszaliński,16.161173324472735,54.16535886642607,PL426
23,Szczecinecko-pyrzycki,15.819224316138808,53.3898977713631,PL427
24,Szczeciński,14.842432890225236,53.461773278591075,PL428
25,Gorzowski,15.282801456175815,52.55257775881044,PL431
26,Zielonogórski,15.388787065310225,51.86758235959214,PL432
27,Miasto Wrocław,16.997304738602907,51.12484864055479,PL514
28,Jeleniogórski,15.60539806762624,51.08704470849479,PL515
29,Legnicko-głogowski,16.220745563519948,51.488601165985855,PL516
30,Wałbrzyski,16.61342003408786,50.59247384319109,PL517
31,Wrocławski,17.079487717155345,51.183530113938,PL518
32,Nyski,17.52615759496902,50.54480685017969,PL523
33,Opolski,18.132786692811507,50.68883502612038,PL524
34,Bydgosko-toruński,18.36176463832744,53.07918903799812,PL613
35,Grudziądzki,19.076467707076784,53.25827277623802,PL616
36,Inowrocławski,17.916693963985704,52.88554356671167,PL617
37,Świecki,18.036248683544763,53.49247988678211,PL618
38,Włocławski,18.950218725272215,52.668747380815844,PL619
39,Elbląski,19.773989729486395,53.814818086681356,PL621
40,Olsztyński,20.838175697245358,53.84330360755931,PL622
41,Ełcki,22.078168041299236,53.95835295274544,PL623
42,Trójmiejski,18.662484095612502,54.41944275527051,PL633
43,Gdański,18.37661764332041,54.40966051639864,PL634
44,Słupski,17.275212771778556,54.33795625681682,PL636
45,Chojnicki,17.589474074866633,53.841850194109526,PL637
46,Starogardzki,18.77377604108085,53.880769957681856,PL638
47,Miasto Łódź,19.44482113584143,51.77792651985788,PL711
48,Łódzki,19.5549262907831,51.793662009448845,PL712
49,Piotrkowski,19.783898552487283,51.323895997425865,PL713
50,Sieradzki,18.777823950788306,51.49108396458495,PL714
51,Skierniewicki,19.715008584452825,52.07602422615572,PL715
52,Kielecki,20.75349320802691,50.990182816557954,PL721
53,Sandomiersko-jędrzejowski,20.809118083791986,50.63038943929997,PL722
54,Bialski,23.128153059462143,51.78275102029049,PL811
55,Chełmsko-zamojski,23.296045857581515,50.75844358172483,PL812
56,Lubelski,22.639837672747447,51.278235342177176,PL814
57,Puławski,22.121472687650595,51.35155506064432,PL815
58,Krośnieński,22.03334200981909,49.50717787245568,PL821
59,Przemyski,22.840452049429203,50.022782537270835,PL822
60,Rzeszowski,21.955644968101065,50.03747425155687,PL823
61,Tarnobrzeski,21.85872977281581,50.36558251054635,PL824
62,Białostocki,23.306623317690985,53.229207084079725,PL841
63,Łomżyński,22.738261007425095,52.88390242186367,PL842
64,Suwalski,22.899682184710393,53.779846077470594,PL843
65,Miasto Warszawa,21.030002034073956,52.24260377828011,PL911
66,Warszawski wschodni,21.389747875860234,52.269119340679616,PL912
67,Warszawski zachodni,20.79495516824409,52.18838097866382,PL913
68,Radomski,21.165989541900366,51.45136636943997,PL921
69,Ciechanowski,20.421901539239727,52.84479306258646,PL922
70,Płocki,19.74228408531756,52.60271188822041,PL923
71,Ostrołęcki,21.47634041771518,52.96477457127122,PL924
72,Siedlecki,22.170187039404553,52.24097133714038,PL925
73,Żyrardowski,20.548894945186596,51.99801662651858,PL926
