nodeID,name,longitude,latitude,nodeCode
1,Alto Minho,-8.498186268832098,41.86993220015716,PT111
2,Cávado,-8.46133365570348,41.6229540337852,PT112
3,Ave,-8.173719403255271,41.483697241290514,PT119
4,Área Metropolitana do Porto,-8.46864290882295,41.11478545223285,PT11A
5,Alto Tâmega,-7.643281076417067,41.65992975996122,PT11B
6,Tâmega e Sousa,-8.117804151072248,41.20422846154325,PT11C
7,Douro,-7.411511229918623,41.168314325432874,PT11D
8,Terras de Trás-os-Montes,-6.837477405826364,41.58898189722998,PT11E
9,Algarve,-8.13146333485415,37.26146050421047,PT150
10,Oeste,-9.100825362623361,39.29399969233842,PT16B
11,Região de Aveiro,-8.51357061972739,40.68763813687228,PT16D
12,Região de Coimbra,-8.338102550986411,40.229571761622374,PT16E
13,Região de Leiria,-8.67724131726445,39.787677906535826,PT16F
14,Viseu Dão Lafões,-7.936878318544531,40.71812523396639,PT16G
15,Beira Baixa,-7.469931869222155,39.898716916725775,PT16H
16,Médio Tejo,-8.246524267508047,39.56286980752226,PT16I
17,Beiras e Serra da Estrela,-7.300202953181307,40.52241185172166,PT16J
18,Área Metropolitana de Lisboa,-9.054025156167535,38.75106126035186,PT170
19,Alentejo Litoral,-8.540166611358067,37.986139060244916,PT181
20,Baixo Alentejo,-7.819723227807137,37.85813191967397,PT184
21,Lezíria do Tejo,-8.604208095791158,39.11068682044827,PT185
22,Alto Alentejo,-7.6098776510834,39.181813954172775,PT186
23,Alentejo Central,-7.8648752001233895,38.598312572748114,PT187
24,Região Autónoma dos Açores,-27.81876789259097,38.528107480589874,PT200
25,Região Autónoma da Madeira,-16.45865786530228,31.362434043511414,PT300
