nodeID_from,nodeID_to,country_ISO3,country_name,weight
1,1,SWE,Sweden,323448
1,2,SWE,Sweden,105984
1,3,SWE,Sweden,76070
1,4,SWE,Sweden,52523
1,5,SWE,Sweden,49662
1,6,SWE,Sweden,54048
1,7,SWE,Sweden,33797
1,8,SWE,Sweden,31494
1,9,SWE,Sweden,40212
1,10,SWE,Sweden,106561
1,11,SWE,Sweden,30718
1,12,SWE,Sweden,39011
1,13,SWE,Sweden,33819
1,14,SWE,Sweden,38468
1,15,SWE,Sweden,38631
1,16,SWE,Sweden,55691
1,17,SWE,Sweden,53638
1,18,SWE,Sweden,47209
1,19,SWE,Sweden,67708
1,20,SWE,Sweden,48834
1,21,SWE,Sweden,41741
2,1,SWE,Sweden,105984
2,2,SWE,Sweden,1331097
2,3,SWE,Sweden,57896
2,4,SWE,Sweden,47925
2,5,SWE,Sweden,52532
2,6,SWE,Sweden,116455
2,7,SWE,Sweden,30269
2,8,SWE,Sweden,27491
2,9,SWE,Sweden,33837
2,10,SWE,Sweden,90153
2,11,SWE,Sweden,24651
2,12,SWE,Sweden,29615
2,13,SWE,Sweden,26584
2,14,SWE,Sweden,30628
2,15,SWE,Sweden,39863
2,16,SWE,Sweden,88142
2,17,SWE,Sweden,141902
2,18,SWE,Sweden,59600
2,19,SWE,Sweden,84689
2,20,SWE,Sweden,58768
2,21,SWE,Sweden,50453
3,1,SWE,Sweden,76070
3,2,SWE,Sweden,57896
3,3,SWE,Sweden,1587005
3,4,SWE,Sweden,82158
3,5,SWE,Sweden,69585
3,6,SWE,Sweden,117798
3,7,SWE,Sweden,27520
3,8,SWE,Sweden,23520
3,9,SWE,Sweden,33142
3,10,SWE,Sweden,59163
3,11,SWE,Sweden,20363
3,12,SWE,Sweden,19877
3,13,SWE,Sweden,22702
3,14,SWE,Sweden,23977
3,15,SWE,Sweden,33014
3,16,SWE,Sweden,46750
3,17,SWE,Sweden,33278
3,18,SWE,Sweden,28479
3,19,SWE,Sweden,40921
3,20,SWE,Sweden,26695
3,21,SWE,Sweden,26871
4,1,SWE,Sweden,52523
4,2,SWE,Sweden,47925
4,3,SWE,Sweden,82158
4,4,SWE,Sweden,1336870
4,5,SWE,Sweden,65582
4,6,SWE,Sweden,43240
4,7,SWE,Sweden,87446
4,8,SWE,Sweden,40779
4,9,SWE,Sweden,90957
4,10,SWE,Sweden,54262
4,11,SWE,Sweden,31098
4,12,SWE,Sweden,29050
4,13,SWE,Sweden,29172
4,14,SWE,Sweden,33865
4,15,SWE,Sweden,35481
4,16,SWE,Sweden,38525
4,17,SWE,Sweden,28984
4,18,SWE,Sweden,26850
4,19,SWE,Sweden,39558
4,20,SWE,Sweden,27601
4,21,SWE,Sweden,27113
5,1,SWE,Sweden,49662
5,2,SWE,Sweden,52532
